date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,walking,transit,driving,cases,deaths
03-12-2020,0.06285714285714286,0.20589285714285718,0.23571428571428577,-0.005714285714285713,-0.02250000000000001,0.007321428571428573,0.05333642547928262,-0.05037417239623122,0.06985471630703415,405.0,6.0
03-13-2020,0.010357142857142858,0.23250000000000007,0.10571428571428573,-0.04678571428571428,-0.050357142857142864,0.024642857142857157,0.11309137291280147,-0.07346877387318564,0.12866733618432946,556.0,7.0
03-14-2020,-0.06892857142857141,0.1483928571428572,0.12357142857142857,-0.05178571428571432,-0.01803571428571429,0.028035714285714306,0.10153872912801488,-0.14145355869620574,0.027055189925062652,674.0,10.0
03-15-2020,-0.07321428571428575,0.11357142857142857,0.16142857142857142,-0.07607142857142854,-0.05607142857142855,0.028214285714285737,-0.15931895485466913,-0.21769735166793988,-0.17352543333461037,702.0,8.0
03-16-2020,-0.05553571428571428,0.20017857142857146,0.08535714285714288,-0.13160714285714284,-0.16410714285714287,0.06339285714285713,-0.13225030921459494,-0.17715463458110517,-0.11406023372245731,907.0,23.0
03-17-2020,-0.16160714285714287,0.1264285714285714,0.16553571428571429,-0.15392857142857141,-0.22660714285714287,0.09232142857142855,-0.1621629560915275,-0.2185029921059333,-0.15928441916321914,1399.0,26.0
03-18-2020,-0.21089285714285716,0.08214285714285714,0.18339285714285714,-0.18857142857142856,-0.2667857142857143,0.10857142857142855,-0.20181083797155233,-0.24499427043544694,-0.19093703332852335,2444.0,45.0
03-19-2020,-0.2630357142857143,0.04946428571428573,0.05625000000000001,-0.2575,-0.2932142857142856,0.12910714285714284,-0.21453656462585036,-0.2664193404634582,-0.20738372706401406,4043.0,50.0
03-20-2020,-0.29035714285714287,0.05303571428571429,0.10696428571428573,-0.27232142857142855,-0.3037499999999999,0.14142857142857143,-0.1811684446505875,-0.26502514642220526,-0.16482191579857414,5619.0,65.0
03-21-2020,-0.36357142857142855,-0.014464285714285718,0.16249999999999995,-0.2587499999999999,-0.2116071428571429,0.0967857142857143,-0.24084106369820651,-0.30584240514387584,-0.25095323704880074,6516.0,83.0
03-22-2020,-0.37964285714285717,-0.10446428571428569,0.09410714285714283,-0.3308928571428572,-0.2683928571428571,0.08732142857142855,-0.3285818645640074,-0.3402417557932264,-0.36433030270154176,8545.0,98.0
03-23-2020,-0.3278571428571429,-0.07678571428571426,-0.07982142857142857,-0.34232142857142855,-0.34875,0.14625,-0.28310722016079165,-0.30486869747899165,-0.2971876570987556,10432.0,121.0
03-24-2020,-0.3569642857142856,-0.10696428571428573,0.06910714285714288,-0.3285714285714287,-0.38392857142857145,0.16321428571428573,-0.27422271181199753,-0.3104098230201172,-0.30046132152041155,10433.0,206.0
03-25-2020,-0.35875000000000007,-0.11767857142857142,0.0825,-0.3414285714285715,-0.39839285714285727,0.1673214285714286,-0.27338319418676565,-0.31406942322383496,-0.30099189046392827,14634.0,269.0
03-26-2020,-0.36357142857142855,-0.11785714285714285,0.23303571428571426,-0.3583928571428571,-0.40750000000000003,0.1716071428571429,-0.26262561842918986,-0.31651817545199895,-0.29298263412321723,16998.0,299.0
03-27-2020,-0.3812500000000001,-0.1303571428571428,0.13874999999999998,-0.38499999999999995,-0.3994642857142857,0.1828571428571429,-0.2355055658627087,-0.3096457219251337,-0.25225103778912417,17330.0,417.0
03-28-2020,-0.44250000000000006,-0.17142857142857143,-0.011785714285714288,-0.39428571428571424,-0.2994642857142857,0.12375,-0.289172077922078,-0.3343345747389866,-0.3213374353697644,21066.0,530.0
03-29-2020,-0.4223214285714287,-0.19392857142857145,0.06982142857142856,-0.4241071428571428,-0.32928571428571424,0.10339285714285713,-0.3348206555349411,-0.35132034632034637,-0.39523962803526846,18520.0,418.0
03-30-2020,-0.3596428571428571,-0.14964285714285716,0.05160714285714286,-0.39178571428571435,-0.4110714285714286,0.16267857142857145,-0.27446351267779845,-0.3192188693659281,-0.31428066227664103,21469.0,650.0
03-31-2020,-0.35982142857142857,-0.13392857142857142,0.038571428571428576,-0.3683928571428572,-0.4285714285714284,0.17571428571428577,-0.2755867346938775,-0.3281592182327477,-0.30591251560109833,24506.0,936.0
04-01-2020,-0.3362499999999999,-0.08303571428571428,0.0882142857142857,-0.3573214285714286,-0.4321428571428569,0.1726785714285714,-0.259149273345702,-0.3269015788133434,-0.2974624982059041,26930.0,1021.0
04-02-2020,-0.3751785714285715,-0.11053571428571426,0.016428571428571428,-0.39875000000000005,-0.4392857142857144,0.18642857142857155,-0.2617493815708101,-0.3304174624395212,-0.29655585454527233,29717.0,1216.0
04-03-2020,-0.38535714285714284,-0.09732142857142857,-0.07821428571428572,-0.4135714285714286,-0.43160714285714297,0.19696428571428576,-0.23987322201607914,-0.3277796345811052,-0.25712272489393656,32318.0,1391.0
04-04-2020,-0.4441071428571428,-0.12714285714285709,0.013214285714285718,-0.40821428571428575,-0.3221428571428571,0.1289285714285714,-0.2692996289424861,-0.3474684873949579,-0.3130227566257212,35099.0,1556.0
04-05-2020,-0.4276785714285715,-0.1610714285714286,0.1375,-0.44589285714285715,-0.3458928571428571,0.10428571428571427,-0.3157494588744588,-0.36090415711739254,-0.38960196409232045,25616.0,1368.0
04-06-2020,-0.3641071428571428,-0.12875,0.17160714285714282,-0.4019642857142857,-0.4314285714285715,0.16857142857142857,-0.25300865800865807,-0.3287926534250064,-0.30106320780374496,30915.0,1526.0
04-07-2020,-0.36625,-0.11750000000000002,0.27660714285714283,-0.3776785714285715,-0.4467857142857142,0.17625000000000002,-0.23079816017316013,-0.3243538324420677,-0.28838327874542075,30338.0,2234.0
04-08-2020,-0.36785714285714277,-0.11589285714285712,0.1669642857142857,-0.38214285714285723,-0.45,0.17678571428571432,-0.23647302102659254,-0.32655016552075383,-0.2841600154660414,31819.0,2085.0
04-09-2020,-0.3785714285714285,-0.11250000000000002,-0.01571428571428573,-0.4119642857142857,-0.4551785714285714,0.18839285714285722,-0.25346243042671607,-0.33350681181563535,-0.2759757998140116,34696.0,2120.0
04-10-2020,-0.38053571428571437,-0.09410714285714283,0.023035714285714288,-0.4303571428571429,-0.4851785714285713,0.20553571428571424,-0.20411255411255408,-0.3290835879806468,-0.22393645250739388,33472.0,2263.0
04-11-2020,-0.4101785714285712,-0.058750000000000004,0.06660714285714282,-0.4160714285714286,-0.33392857142857135,0.12214285714285715,-0.23094001236858377,-0.3446754838298955,-0.27675424513502855,31725.0,2084.0
04-12-2020,-0.5844642857142857,-0.3698214285714285,-0.17857142857142858,-0.5019642857142858,-0.40625000000000006,0.11267857142857143,-0.3742733457019171,-0.38336723325693917,-0.4350907937810371,27143.0,1681.0
04-13-2020,-0.4001785714285714,-0.19392857142857148,-0.20535714285714288,-0.4410714285714286,-0.4426785714285715,0.18214285714285713,-0.2867621366728509,-0.3378275401069519,-0.29840432221823965,25769.0,1764.0
04-14-2020,-0.35714285714285704,-0.13625,0.026785714285714277,-0.38660714285714287,-0.4326785714285715,0.17803571428571435,-0.25266968150896724,-0.33283040488922844,-0.2633417325693825,26691.0,2705.0
04-15-2020,-0.3001785714285714,-0.09,0.0010714285714285645,-0.37017857142857136,-0.4305357142857144,0.17250000000000004,-0.23603509585652446,-0.33625748026483315,-0.23193477053409753,30033.0,2752.0
04-16-2020,-0.3344642857142856,-0.10839285714285715,0.01232142857142857,-0.39303571428571427,-0.43303571428571436,0.18178571428571427,-0.22983379715522576,-0.3365570091673033,-0.2273220944629743,31613.0,2348.0
04-17-2020,-0.36000000000000004,-0.13499999999999998,-0.011249999999999986,-0.3999999999999999,-0.42053571428571435,0.1894642857142858,-0.1957540970933828,-0.328217787114846,-0.17645658683359655,31507.0,2289.0
04-18-2020,-0.3916071428571427,-0.12928571428571423,0.056785714285714294,-0.3755357142857142,-0.29678571428571426,0.11642857142857141,-0.20544604205318495,-0.33955038833715306,-0.21527027320164246,28400.0,1952.0
04-19-2020,-0.36839285714285713,-0.15500000000000003,0.22875,-0.41589285714285706,-0.32107142857142856,0.09410714285714285,-0.2743251391465677,-0.3535185892538834,-0.3123068976251668,25334.0,1520.0
04-20-2020,-0.31017857142857136,-0.1275,0.17053571428571423,-0.38,-0.4164285714285714,0.16071428571428575,-0.19903099876314162,-0.3177223389355742,-0.213834808389467,27330.0,1837.0
04-21-2020,-0.31750000000000006,-0.11178571428571425,0.17660714285714282,-0.3628571428571428,-0.4249999999999999,0.1692857142857143,-0.2133329468150896,-0.32066701680672277,-0.2162041451832258,25508.0,2672.0
04-22-2020,-0.31749999999999995,-0.10535714285714284,0.1258928571428571,-0.35999999999999993,-0.42642857142857155,0.16910714285714287,-0.2123952535559679,-0.32544929335370515,-0.20527553027164205,28832.0,2371.0
04-23-2020,-0.3371428571428571,-0.11428571428571428,0.05803571428571429,-0.38107142857142856,-0.42732142857142863,0.1789285714285714,-0.21063388991960416,-0.32865546218487396,-0.19410346630232272,33773.0,2169.0
04-24-2020,-0.3457142857142857,-0.12142857142857144,0.07803571428571429,-0.38160714285714276,-0.41625000000000006,0.1828571428571429,-0.1596838280766852,-0.3176416475681182,-0.1336837721039033,36738.0,2132.0
04-25-2020,-0.35589285714285707,-0.0942857142857143,0.3417857142857142,-0.3341071428571428,-0.2855357142857143,0.10107142857142858,-0.16902597402597402,-0.33060733384262797,-0.16651848635413866,34407.0,1966.0
04-26-2020,-0.34017857142857144,-0.1219642857142857,0.2357142857142857,-0.3901785714285714,-0.31571428571428567,0.08696428571428567,-0.25949636672850956,-0.348539120193532,-0.28357985304977534,26735.0,1254.0
04-27-2020,-0.28196428571428567,-0.10053571428571426,0.16178571428571434,-0.3608928571428572,-0.40178571428571436,0.15607142857142856,-0.1862670068027211,-0.31142968551056793,-0.1896659687113816,23191.0,1442.0
04-28-2020,-0.2758928571428571,-0.07410714285714286,0.2657142857142857,-0.3283928571428572,-0.4142857142857142,0.10303571428571427,-0.17274969078540509,-0.3116577540106951,-0.1695433374295814,24631.0,2394.0
04-29-2020,-0.2683928571428571,-0.06660714285714286,0.19625000000000004,-0.3264285714285715,-0.4155357142857142,0.15910714285714286,-0.17478432282003714,-0.31247151133180556,-0.16290793737916268,26557.0,2514.0
04-30-2020,-0.2791071428571429,-0.06499999999999999,0.15125000000000002,-0.3376785714285715,-0.41500000000000004,0.16589285714285715,-0.16250966295609154,-0.3125728927934811,-0.1390592656048262,30339.0,2210.0
05-01-2020,-0.26464285714285707,-0.03642857142857142,0.33928571428571425,-0.3108928571428572,-0.395,0.1578571428571429,-0.070578231292517,-0.2920117137764197,-0.04100896312049641,33964.0,1762.0
05-02-2020,-0.28964285714285715,-0.022142857142857148,0.669642857142857,-0.25500000000000006,-0.2558928571428572,0.07982142857142856,-0.08831709956709954,-0.3072762286732874,-0.08837974617762527,29474.0,1583.0
05-03-2020,-0.25946428571428576,-0.04732142857142858,0.5826785714285714,-0.31660714285714286,-0.26839285714285704,0.0669642857142857,-0.1877268862090291,-0.3256552393684747,-0.21202005698736143,26140.0,1331.0
05-04-2020,-0.21982142857142858,-0.04374999999999999,0.23607142857142852,-0.32107142857142856,-0.37875,0.1389285714285714,-0.12954506802721089,-0.2946544754265343,-0.126438929943757,21961.0,1089.0
05-05-2020,-0.2117857142857143,0.0010714285714285715,0.2621428571428571,-0.29749999999999993,-0.3873214285714285,0.14535714285714288,-0.11648925479282624,-0.2943740450725744,-0.10337104574697295,23705.0,2234.0
