date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,walking,transit,driving,stay at home,>50 gatherings,>500 gatherings,public schools,restaurant dine-in,entertainment/gym,federal guideline,foreign travel ban,cases,deaths
6/4/2020,-0.109285714,0.042678571,0.790178571,-0.195178571,-0.318035714,0.104285714,0.168013683,-0.233211103,0.185573623,1,1,1,0,1,1,1,0,21613,1008
6/5/2020,-0.141607143,0.019642857,0.790178571,-0.194642857,-0.311428571,0.103571429,0.275946583,-0.215644258,0.295349716,1,1,1,0,1,1,1,0,28694,1112
6/6/2020,-0.169642857,0.030892857,0.965,-0.135178571,-0.116607143,0.039821429,0.271778757,-0.227259199,0.249393344,1,1,1,0,1,1,1,0,22520,728
6/7/2020,-0.117142857,0.022678571,1.029642857,-0.158571429,-0.136785714,0.030892857,0.047849026,-0.267213044,0.054745499,1,1,1,0,1,1,1,0,18616,390
6/8/2020,-0.096071429,0.006607143,0.725892857,-0.204642857,-0.304285714,0.095714286,0.149687693,-0.215679272,0.159301976,1,1,1,0,1,1,1,0,18199,722
6/9/2020,-0.098571429,0.0175,0.660714286,-0.201428571,-0.310178571,0.102857143,0.152497681,-0.220141648,0.172398764,1,1,1,0,1,1,1,0,18800,1030
6/10/2020,-0.078571429,0.030892857,0.737857143,-0.181071429,-0.31,0.096785714,0.174754561,-0.215625637,0.197901705,1,1,1,0,1,1,1,0,23159,929
6/11/2020,-0.092857143,0.030714286,0.856964286,-0.178035714,-0.315,0.099107143,0.205258581,-0.212904571,0.236306548,1,1,1,0,1,1,1,0,23200,877
6/12/2020,-0.115714286,0.025178571,1.073214286,-0.155178571,-0.304464286,0.088571429,0.352713358,-0.191808314,0.379632079,1,1,1,0,1,1,1,0,25496,778
6/13/2020,-0.139821429,0.040714286,1.269107143,-0.079821429,-0.091964286,0.026607143,0.349834957,-0.209141839,0.332140011,1,1,1,0,1,1,1,0,25335,693
6/14/2020,-0.084642857,0.029464286,1.223571429,-0.106428571,-0.110892857,0.019464286,0.089954391,-0.251900624,0.119389725,1,1,1,0,1,1,1,0,19129,317
6/15/2020,-0.067142857,0.018928571,0.867857143,-0.169642857,-0.300178571,0.086428571,0.171430118,-0.206527725,0.207617975,1,1,1,0,1,1,1,0,20115,448
6/16/2020,-0.063392857,0.038928571,0.972321429,-0.16625,-0.30625,0.0925,0.19452149,-0.202750509,0.231954184,1,1,1,0,1,1,1,0,24881,769
6/17/2020,-0.059285714,0.041428571,0.932857143,-0.155535714,-0.310178571,0.089464286,0.21360235,-0.202537083,0.249546772,1,1,1,0,1,1,1,0,25652,761
6/18/2020,-0.069642857,0.042857143,1.01375,-0.150357143,-0.311964286,0.088928571,0.240604515,-0.205561656,0.287146285,1,1,1,0,1,1,1,0,28051,727
6/19/2020,-0.099821429,0.037678571,1.038214286,-0.138214286,-0.311428571,0.0725,0.393922387,-0.181806404,0.427703076,1,1,1,0,1,1,1,0,30840,698
6/20/2020,-0.125714286,0.079642857,1.236607143,-0.075,-0.098035714,0.022321429,0.359361085,-0.203703049,0.364147267,1,1,1,0,1,1,1,0,32024,546
6/21/2020,-0.083571429,0.065,1.222142857,-0.099285714,-0.102142857,0.00625,0.038537801,-0.259485931,0.079087224,1,1,1,0,1,1,1,0,26394,257
6/22/2020,-0.080714286,-0.005535714,0.8775,-0.163928571,-0.321964286,0.087678571,0.187280844,-0.194445983,0.228753834,1,1,1,0,1,1,1,0,30441,360
6/23/2020,-0.062678571,0.030892857,1.046607143,-0.151428571,-0.321964286,0.089285714,0.246718074,-0.188769735,0.270167427,1,1,1,0,1,1,1,0,35046,833
